ChannelID,FromProgramID,ToProgramID
10001,1001,1003
10002,1001,1004
10003,1001,1005
10004,1001,1006
10005,1001,1007
10006,1001,1032
10007,1001,1033
10008,1001,1034
10009,1001,1035
10010,1001,1036
10011,1001,1037
10012,1001,1038
10013,1001,1039
10014,1001,1040
10015,1001,1008
10016,1001,1009
10017,1001,1010
10018,1002,1010
10019,1008,1031
10020,1008,1011
10021,1008,1013
10022,1008,1014
10023,1008,1015
10024,1008,1016
10025,1008,1017
10026,1008,1018
10027,1008,1019
10028,1008,1020
10029,1008,1021
10030,1008,1022
10031,1008,1023
10032,1008,1024
10033,1008,1025
10034,1008,1026
10035,1008,1027
10036,1008,1028
10037,1008,1029
10038,1008,1030
10039,1009,1012
10040,1009,1014
10041,1009,1015
10042,1009,1016
10043,1009,1017
10044,1009,1041
