StreamID ,StreamName
101,Science
102,Agriculture
103,Electrician
104,Fitter
105,Stanographer
106,PCM
107,PCB
108,ZBC
109,Maths (Hons)
110,Chemistry (Hons)
111,Physics (Hons)
112,Botany (Hons)
113,Zoology (Hons)
114,Pharmacy
115,Computer Applications
116,CSE
117,ECE
118,ME
119,EE
120,CE
121,Metallurgy
122,Chemical Engineering
123,Automation &Robotics Engineering
124,Agriculture Engineering
125,Automobile Engineering
126,Aerospace Engineering
127,Information Technology
128,Aeronautical Engineering
