,UniversityName,Address,State,Type,CreateDT
0,Central University of Andhra Pradesh,"IT Incubation Centre Building, JNTU Campus, Chinmaynagar, Anantapuramu,",Andhra Pradesh - 515002,Central University,2020-02-23 11:27:02.440298
1,Central University of Jammu,Rahya-Suchani (Bagla) District Samba Jammu,Jammu and Kashmir - 181143,Central University,2020-02-23 11:27:02.440298
2,Central University of Kashmir,Transit Campus Sonwar (Near G.B. Pant Hospital) Srinagar,Jammu and Kashmir - 190 004,Central University,2020-02-23 11:27:02.440298
3,North Eastern Hill University,NEHU Campus Shillong,Meghalaya - 793022,Central University,2020-02-23 11:27:02.440298
4,Sikkim University,"6th Mile, Samdur P.O. Tadong, Gangtok",Sikkim - 737102,Central University,2020-02-23 11:27:02.440298
5,Rajiv Gandhi University,"Rono Hills P.O. Doimukh, Itanagar",Arunachal Pradesh - 791112,Central University,2020-02-23 11:27:02.440298
6,Central University of Jharkhand,"Ratu-Lohardaga Road Brambe, Ranchi Jharkhand, India",Jharkhand - 835 205,Central University,2020-02-23 11:27:02.440298
7,Mizoram University,"Post Box No. 190, Aizwal",Mizoram - 796009,Central University,2020-02-23 11:27:02.440298
8,Central university of Tamil Nadu,"C/O. Collectorate Annexe, Tiruvarur",Tamil Nadu - 610001,Central University,2020-02-23 11:27:02.440298
9,Indian Maritime University,Chennai,Tamil Nadu - 600119,Central University,2020-02-23 11:27:02.440298
10,Assam University,P.O. Assam University Silchar,Assam - 788011,Central University,2020-02-23 11:27:02.440298
11,Tezpur University,"P.O. - Napaam, Tezpur Dist. Sonitpur",Assam - 784028,Central University,2020-02-23 11:27:02.440298
12,Central University of Karnataka,"2nd Floor, Karya Saudha, Gulbarga University, Gulbarga",Karnataka - 585 106,Central University,2020-02-23 11:27:02.440298
13,Nagaland University,HQ: Lumami Dist: Zunheboto Nagaland,Nagaland - 798 627,Central University,2020-02-23 11:27:02.440298
14,Tripura University,Suryamaninagar Agartala,Tripura - 799130,Central University,2020-02-23 11:27:02.440298
15,Central University of South Bihar,"Phaneeshwarnath Renu Hindi Bhawan, Chhajjubagh Patna",Bihar - 800014,Central University,2020-02-23 11:27:02.440298
16,Mahatma Gandhi Central University,Opposite Circuit House Motihari Distt.: East Champaran,Bihar - 845401,Central University,2020-02-23 11:27:02.440298
17,Nalanda University,"Rajgir, Dist: Nalanda",Bihar - 803 116,Central University,2020-02-23 11:27:02.440298
18,Central University of Kerala,"Tejaswini Hills,Periye (PO), Kasaragod (DT), Kerala",Kerala - 671316,Central University,2020-02-23 11:27:02.440298
19,Central University of Orissa,"Sabara, Srikhetra Coats Building Koraput",Orissa - 764020,Central University,2020-02-23 11:27:02.440298
20,Aligarh Muslim University,Aligarh,Uttar Pradesh - 202002,Central University,2020-02-23 11:27:02.440298
21,Babasaheb Bhimrao Ambedkar University,"Vidya Vihar, Rae Bareily Road, Lucknow",Uttar Pradesh - 226025,Central University,2020-02-23 11:27:02.440298
22,Banaras Hindu University,Varanasi,Uttar Pradesh - 221005,Central University,2020-02-23 11:27:02.440298
23,Rajiv Gandhi National Aviation University,"Fursatganj, D.T., Raebareli, Uttar Pradesh",Uttar Pradesh -,Central University,2020-02-23 11:27:02.440298
24,University of Allahabad,Allahabad,Uttar Pradesh - 211002,Central University,2020-02-23 11:27:02.440298
25,Indira Gandhi National Open University,Maidan Garhi New Delhi,Delhi - 110068,Central University,2020-02-23 11:27:02.440298
26,Jamia Millia Islamia,Jamia Nagar New Delhi,Delhi - 110025,Central University,2020-02-23 11:27:02.440298
27,Jawaharlal Nehru University,"New Mehrauli Road, New Delhi",Delhi - 110067,Central University,2020-02-23 11:27:02.440298
28,South Asian Universit y,"Akbar Bhawan, Chanakyapuri, New Delhi",Delhi - 110021,Central University,2020-02-23 11:27:02.440298
29,University of Delhi,Delhi,Delhi - 110007,Central University,2020-02-23 11:27:02.440298
30,Guru Ghasidas Vishwavidyalaya,Bilaspur Chhatisgarh,Chhattisgarh - 495009,Central University,2020-02-23 11:27:02.440298
31,Pondicherry University,"Bharat Ratna Dr. B R Ambedkar Administrative Building R. Venkataraman Nagar, Kalapet, Puducherry",Puducherry - 605014,Central University,2020-02-23 11:27:02.440298
32,Hemwati Nandan Bahuguna Garhwal University,Srinagar Garhwal,Uttarakhand - 246 174,Central University,2020-02-23 11:27:02.440298
33,Central University of Gujarat,"Plot No. 95/1, Sector-2 A Gandhinagar",Gujarat - 382 007,Central University,2020-02-23 11:27:02.440298
34,Dr. Harisingh Gour Vishwavidyalaya,Sagar,Madhya Pradesh - 470003,Central University,2020-02-23 11:27:02.440298
35,The Indira Gandhi National Tribal University,"Kapil Dhara Road ,Mekal Sadan Amarkantak, Dist-Anuppur",Madhya Pradesh -,Central University,2020-02-23 11:27:02.440298
36,Central University of Punjab,"City Campus, Mansa Road, Bathinda",Punjab - 151001,Central University,2020-02-23 11:27:02.440298
37,Visva Bharati,Shantiniketan,West Bengal - 731235,Central University,2020-02-23 11:27:02.440298
38,Central University of Haryana,"Jant-Pali, Mahendergarh",Haryana - 123029,Central University,2020-02-23 11:27:02.440298
