,UniversityName,Address,State,Type
0,Central University of Andhra Pradesh,"IT Incubation Centre Building, JNTU Campus, Chinmaynagar, Anantapuramu,",Andhra Pradesh - 515002,Central University
1,Rashtriya Sanskrit Vidyapeeth,Tirupati - 517 507.(A.P),Andhra Pradesh -,Central University
2,Central University of Jammu,Rahya-Suchani (Bagla) District Samba Jammu,Jammu and Kashmir - 181143,Central University
3,Central University of Kashmir,Transit Campus Sonwar (Near G.B. Pant Hospital) Srinagar,Jammu and Kashmir - 190 004,Central University
4,North Eastern Hill University,NEHU Campus Shillong,Meghalaya - 793022,Central University
5,Sikkim University,"6th Mile, Samdur P.O. Tadong, Gangtok",Sikkim - 737102,Central University
6,Rajiv Gandhi University,"Rono Hills P.O. Doimukh, Itanagar",Arunachal Pradesh - 791112,Central University
7,Central University of Jharkhand,"Ratu-Lohardaga Road Brambe, Ranchi Jharkhand, India",Jharkhand - 835 205,Central University
8,Mizoram University,"Post Box No. 190, Aizwal",Mizoram - 796009,Central University
9,Central university of Tamil Nadu,"C/O. Collectorate Annexe, Tiruvarur",Tamil Nadu - 610001,Central University
10,Indian Maritime University,Chennai,Tamil Nadu - 600119,Central University
11,Assam University,P.O. Assam University Silchar,Assam - 788011,Central University
12,Tezpur University,"P.O. - Napaam, Tezpur Dist. Sonitpur",Assam - 784028,Central University
13,Central University of Karnataka,"2nd Floor, Karya Saudha, Gulbarga University, Gulbarga",Karnataka - 585 106,Central University
14,Nagaland University,HQ: Lumami Dist: Zunheboto Nagaland,Nagaland - 798 627,Central University
15,Tripura University,Suryamaninagar Agartala,Tripura - 799130,Central University
16,Central University of South Bihar,"Phaneeshwarnath Renu Hindi Bhawan, Chhajjubagh Patna",Bihar - 800014,Central University
17,Mahatma Gandhi Central University,Opposite Circuit House Motihari Distt.: East Champaran,Bihar - 845401,Central University
18,Nalanda University,"Rajgir, Dist: Nalanda",Bihar - 803 116,Central University
19,Central University of Kerala,"Tejaswini Hills,Periye (PO), Kasaragod (DT), Kerala",Kerala - 671316,Central University
20,Central University of Orissa,"Sabara, Srikhetra Coats Building Koraput",Orissa - 764020,Central University
21,Aligarh Muslim University,Aligarh,Uttar Pradesh - 202002,Central University
22,Babasaheb Bhimrao Ambedkar University,"Vidya Vihar, Rae Bareily Road, Lucknow",Uttar Pradesh - 226025,Central University
23,Banaras Hindu University,Varanasi,Uttar Pradesh - 221005,Central University
24,Rajiv Gandhi National Aviation University,"Fursatganj, D.T., Raebareli, Uttar Pradesh",Uttar Pradesh -,Central University
25,University of Allahabad,Allahabad,Uttar Pradesh - 211002,Central University
26,Indira Gandhi National Open University,Maidan Garhi New Delhi,Delhi - 110068,Central University
27,Jamia Millia Islamia,Jamia Nagar New Delhi,Delhi - 110025,Central University
28,Jawaharlal Nehru University,"New Mehrauli Road, New Delhi",Delhi - 110067,Central University
29,Rashtriya Sanskrit Sansthana,"56-57 Institutional Area - Janakpuri, New Delhi-58",Delhi -,Central University
30,Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapith,"B-4,qutub Institutional Area, New Delhi- 110 016",Delhi -,Central University
